IDx,Title,Link
24687,Mushishi Zoku Shou: Odoro no Michi,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
10162,Usagi Drop,https://myanimelist.net/anime/10162/Usagi_Drop
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),https://myanimelist.net/anime/5205/Kara_no_Kyoukai_7__Satsujin_Kousatsu_Kou
22535,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
31812,Kuroshitsuji Movie: Book of the Atlantic,https://myanimelist.net/anime/31812/Kuroshitsuji_Movie__Book_of_the_Atlantic
32182,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100
32,Neon Genesis Evangelion: The End of Evangelion,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
38262,Pingu in the City (2018),https://myanimelist.net/anime/38262/Pingu_in_the_City_2018
205,Samurai Champloo,https://myanimelist.net/anime/205/Samurai_Champloo
5941,Cross Game,https://myanimelist.net/anime/5941/Cross_Game
21899,Gintama: Yorinuki Gintama-san on Theater 2D,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
17389,Kingdom 2nd Season,https://myanimelist.net/anime/17389/Kingdom_2nd_Season
877,Nana,https://myanimelist.net/anime/877/Nana
35677,Liz to Aoi Tori,https://myanimelist.net/anime/35677/Liz_to_Aoi_Tori
16498,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
392,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
36999,Zoku Owarimonogatari,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
2251,Baccano!,https://myanimelist.net/anime/2251/Baccano
28805,Bakemono no Ko,https://myanimelist.net/anime/28805/Bakemono_no_Ko
10030,Bakuman. 2nd Season,https://myanimelist.net/anime/10030/Bakuman_2nd_Season
14397,Chihayafuru 2,https://myanimelist.net/anime/14397/Chihayafuru_2
32366,Gintama°: Aizome Kaori-hen,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen
35557,Houseki no Kuni,https://myanimelist.net/anime/35557/Houseki_no_Kuni
136,Hunter x Hunter,https://myanimelist.net/anime/136/Hunter_x_Hunter
16894,Kuroko no Basket 2nd Season,https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season
36275,Natsume Yuujinchou Roku Specials,https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials
22789,Barakamon,https://myanimelist.net/anime/22789/Barakamon
467,Ghost in the Shell: Stand Alone Complex,https://myanimelist.net/anime/467/Ghost_in_the_Shell__Stand_Alone_Complex
572,Kaze no Tani no Nausicaä,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä
33,Kenpuu Denki Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
13125,Shinsekai yori,https://myanimelist.net/anime/13125/Shinsekai_yori
35788,Shokugeki no Souma: San no Sara,https://myanimelist.net/anime/35788/Shokugeki_no_Souma__San_no_Sara
7655,Major S6,https://myanimelist.net/anime/7655/Major_S6
2246,Mononoke,https://myanimelist.net/anime/2246/Mononoke
31181,Owarimonogatari,https://myanimelist.net/anime/31181/Owarimonogatari
31646,3-gatsu no Lion,https://myanimelist.net/anime/31646/3-gatsu_no_Lion
9260,Kizumonogatari I: Tekketsu-hen,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen
9756,Mahou Shoujo Madoka★Magica,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
11917,Major: World Series,https://myanimelist.net/anime/11917/Major__World_Series
